a,VMIP3S0_haber
al,SP_a
bien,RG_bien
cara,NCFS000_cara
cosas,NCFP000_cosa
de,VMIP3S0_de
del,DA0MS0_el
dios,NCMS000_dios
el,PP3MS00_él
en,VMSI3P0_en
Entre,NP00SP0_entre
es,RG_es
Esta,NP00SP0_esta
esta,NP00SP0_esta
estrañas,AQ0FP00_estranas
estranas,AQ0FP00_estranas
et,CC_et
fazer,VMN0000_hacer
fizo,VMIS3S0_hacer
ha,VMIP3S0_haber
homes,NCMP000_hombre
la,AQ0FS00_la
marabillosa,AQ0FS00_maravilloso
marabillosas,AQ0FP00_maravilloso
muchas,PI0MP00_mucho
mundo,NCMS000_mundo
muy,RG_muy
nuestro,NCMS000_nuestro
non,RG_no
no,AQ0MS00_no
otro,VMP00SM_otro
por,NCMS000_por
quantos,PR0MP00_cuanto
que,PE00000_qué
semeje,VMSP3S0_semejar
señor,NCMS000_señor
son,NCMS000_son
todo,RG_todo
touo,VMIS3S0_tener
una,Z_1
uno,Z_1
vien,VMIP3S0_venir
