Original,Normalised
a,PRE_a
lui,PROper_il|loi
meisme,ADJind_möisme
se,PROper_se
conseille,VERcjg_conseilier|conseiller|conseillier
auquel,PROrel_quel
de,PRE_de
ii,ETR_je
il,PROper_il
aidera,VERcjg_aidier
dist,VERcjg_dire
c,NOMcom_ce|que
au,PRE.DETdef_a+le|le
lion,NOMcom_löon
secourra,VERcjg_secorre
car,CONcoo_car
vrinmeus,ADJqua_vrinmeus
n,PROadv_en
a,VERcjg_avoir
felon,NOMcom_felon
ne,ADVneg_en
doit,VERcjg_devoir|dire
on,PROind_on
faire,VERinf_faire
se,CONsub_se
mal,ADJqua_mal
non,NOMcom_nom
li,PROper_le
meisme,ADJind_meisme|möisme
conselle,VERcjg_conseillier|consellier
alquel,NOMcom_alquel
des,PRE.DETdef_de+le|le
ii,NOMcom_i
et,CONcoo_et
tendra,VERcjg_tenir
qu,ADJqua_que
venimeus,ADJqua_venimos
l,PROper_il
meismes,ADJind_möismes
la,DETdef_le
part,NOMcom_part
lyon,NOMcom_löon
sera,VERcjg_estre
nul,DETind_nul
mauves,NOMcom_mauvais
ne,CONcoo_ni
fere,VERinf_faire|ferir
soi,PROper_soi
lors,ADVgen_lors
dit,VERppe_dire
le,PROper_il
fera,VERcjg_faire
en,PRE_en
al,PRE.DETdef_a+le|le
secolra,VERcjg_secolra
venimex,NOMcom_venimex
consele,NOMcom_consule
as,VERcjg_a+le|le
ques,PROrel.PROper_quel
dex,ADJcar_dieu
dist,VERppe_dire
que,CONsub_que
le,DETdef_le
secoura,VERcjg_secoura
qu,NOMcom_que
as,PRE.DETdef_a+le|le
felons,NOMcom_felon
dit,VERcjg_dire
q,VERppe_que
leon,NOMcom_löon
secorra,VERcjg_secorre
deuz,NOMcom_deus
lor,PROper_il|lor
a,VERcjg_a
enuious,VERppe_enoios
consoille,VERcjg_conseillier
d,PRE_de
aus,PROper_il
ii,VERinf_i
tanra,VERcjg_tenir
an,PRE_en
feire,VERinf_faire|feire
